date,status,revenue,month
2026-01-01,optimal,41.40477580340265,2026-01
2026-01-02,optimal,146.71846291115313,2026-01
2026-01-03,optimal,23.41306086956525,2026-01
2026-01-04,optimal,21.817843478260883,2026-01
2026-01-05,optimal,190.61255652173915,2026-01
2026-01-06,optimal,67.10394782608697,2026-01
2026-01-07,optimal,33.27682268431002,2026-01
2026-01-08,optimal,289.34758260869563,2026-01
2026-01-09,optimal,46.92071304347827,2026-01
2026-01-10,optimal,88.8644,2026-01
2026-01-11,optimal,13.772608695652176,2026-01
2026-01-12,optimal,57.043791304347835,2026-01
2026-01-13,optimal,55.53549565217393,2026-01
2026-01-14,optimal,148.85518941398868,2026-01
2026-01-15,optimal,58.87080000000002,2026-01
2026-01-16,optimal,134.12163478260874,2026-01
2026-01-17,optimal,30.849617391304363,2026-01
2026-01-18,optimal,23.505843478260868,2026-01
2026-01-19,optimal,139.72631153119096,2026-01
2026-01-20,optimal,263.81843100189036,2026-01
2026-01-21,optimal,79.07596521739131,2026-01
2026-01-22,optimal,46.388903591682464,2026-01
2026-01-23,optimal,48.177972778827986,2026-01
2026-01-24,optimal,31.106876370510413,2026-01
2026-01-25,optimal,8.011113043478279,2026-01
2026-01-26,optimal,96.72180264650287,2026-01
2026-01-27,optimal,57.82994102079395,2026-01
2026-01-28,optimal,69.99503591682422,2026-01
2026-01-29,optimal,66.15598260869567,2026-01
2026-01-30,optimal,37.1288347826087,2026-01
2026-01-31,optimal,25.618486956521743,2026-01
2026-02-01,optimal,22.43646956521739,2026-02
2026-02-02,optimal,36.0625391304348,2026-02
2026-02-03,optimal,41.00832589792062,2026-02
2026-02-04,optimal,19.747769376181516,2026-02
2026-02-05,optimal,42.91890434782607,2026-02
2026-02-06,optimal,30.149739130434796,2026-02
2026-02-07,optimal,16.94019206049151,2026-02
2026-02-08,optimal,10.284417391304377,2026-02
2026-02-09,optimal,153.15274102079397,2026-02
2026-02-10,optimal,13.819584120983023,2026-02
2026-02-11,optimal,20.602208695652177,2026-02
2026-02-12,optimal,23.842570888468806,2026-02
2026-02-13,optimal,47.81266616257093,2026-02
2026-02-14,optimal,26.461756521739147,2026-02
2026-02-15,optimal,26.003686956521747,2026-02
2026-02-16,optimal,78.46514782608699,2026-02
2026-02-17,optimal,36.8864393194707,2026-02
2026-02-18,optimal,115.82053383742911,2026-02
2026-02-19,optimal,15.214852173913044,2026-02
2026-02-20,optimal,18.563123629489617,2026-02
2026-02-21,optimal,98.07247712665409,2026-02
2026-02-22,optimal,52.67488922495274,2026-02
2026-02-23,optimal,180.61638472589794,2026-02
2026-02-24,optimal,141.06521058601137,2026-02
2026-02-25,optimal,72.29173882797734,2026-02
2026-02-26,optimal,154.64369557655957,2026-02
2026-02-27,optimal,201.56236310018906,2026-02
2026-02-28,optimal,158.02655803402646,2026-02
2026-03-01,optimal,185.26243856332704,2026-03
2026-03-02,optimal,245.6512211720227,2026-03
2026-03-03,optimal,257.8406942911153,2026-03
2026-03-04,optimal,425.5642962570889,2026-03
2026-03-05,optimal,317.59021913043483,2026-03
2026-03-06,optimal,259.72099432892253,2026-03
2026-03-07,optimal,274.9092869565217,2026-03
2026-03-08,optimal,257.0541739130435,2026-03
2026-03-09,optimal,262.89612249527414,2026-03
2026-03-10,optimal,164.05687258979205,2026-03
2026-03-11,optimal,240.17190396975425,2026-03
2026-03-12,optimal,211.1143448015123,2026-03
2026-03-13,optimal,297.4180869565218,2026-03
2026-03-14,optimal,54.02182608695654,2026-03
2026-03-15,optimal,163.1012347826087,2026-03
2026-03-16,optimal,285.7775565973535,2026-03
2026-03-17,optimal,126.22178449905485,2026-03
2026-03-18,optimal,306.4178253308129,2026-03
2026-03-19,optimal,362.4889043478261,2026-03
2026-03-20,optimal,218.72597519848773,2026-03
2026-03-21,optimal,229.41153043478263,2026-03
2026-03-22,optimal,311.5862313799622,2026-03
2026-03-23,optimal,331.15584725897924,2026-03
2026-03-24,optimal,247.32125217391305,2026-03
2026-03-25,optimal,257.43768166351606,2026-03
2026-03-26,optimal,274.419099584121,2026-03
2026-03-27,optimal,149.9134611720227,2026-03
2026-03-28,optimal,233.2871304347826,2026-03
2026-03-30,optimal,236.19911788279774,2026-03
2026-03-31,optimal,186.6163497920605,2026-03
2026-04-01,optimal,143.02219281663517,2026-04
2026-04-02,optimal,172.24162782608695,2026-04
2026-04-03,optimal,160.71342608695653,2026-04
2026-04-04,optimal,257.7986185255199,2026-04
2026-04-05,optimal,277.2463854820416,2026-04
2026-04-06,optimal,459.874713194707,2026-04
2026-04-07,optimal,361.3418806805293,2026-04
2026-04-08,optimal,358.21679017013236,2026-04
2026-04-09,optimal,247.08819054820415,2026-04
2026-04-10,optimal,240.29372173913046,2026-04
2026-04-11,optimal,291.6573943289225,2026-04
2026-04-12,optimal,237.0426005293006,2026-04
2026-04-13,optimal,73.60051039697547,2026-04
2026-04-14,optimal,165.8717391304348,2026-04
2026-04-15,optimal,190.94790321361063,2026-04
2026-04-16,optimal,196.46923599243857,2026-04
2026-04-17,optimal,205.36188657844994,2026-04
2026-04-18,optimal,244.41043402646505,2026-04
2026-04-19,optimal,209.31768922495274,2026-04
2026-04-20,optimal,146.5633625708885,2026-04
2026-04-21,optimal,245.1937820793951,2026-04
2026-04-22,optimal,293.14619417769376,2026-04
2026-04-23,optimal,322.236768241966,2026-04
2026-04-24,optimal,290.9123623440454,2026-04
2026-04-25,optimal,522.020407410208,2026-04
2026-04-26,optimal,1144.8692551984877,2026-04
2026-04-27,optimal,314.0008748582231,2026-04
2026-04-28,optimal,260.09017678638946,2026-04
2026-04-29,optimal,361.7038253308129,2026-04
2026-04-30,optimal,345.8628757655955,2026-04
2026-05-01,optimal,1323.7419215122875,2026-05
2026-05-02,optimal,540.9603017013233,2026-05
2026-05-03,optimal,257.87011039697546,2026-05
2026-05-04,optimal,288.3574737240076,2026-05
2026-05-05,optimal,65.94487939508508,2026-05
2026-05-06,optimal,63.34372748582232,2026-05
2026-05-07,optimal,132.2528750094518,2026-05
2026-05-08,optimal,115.75800801512287,2026-05
2026-05-09,optimal,241.25416680529304,2026-05
2026-05-10,optimal,218.0099963705104,2026-05
2026-05-11,optimal,20.002268431001927,2026-05
2026-05-12,optimal,187.15936499054823,2026-05
2026-05-13,optimal,127.53637867674863,2026-05
2026-05-14,optimal,236.25391652173914,2026-05
2026-05-15,optimal,163.26827478260873,2026-05
2026-05-16,optimal,236.94360831758036,2026-05
2026-05-17,optimal,258.21219130434787,2026-05
2026-05-18,optimal,193.66858903591685,2026-05
2026-05-19,optimal,136.48559017013235,2026-05
2026-05-20,optimal,192.22486291115314,2026-05
2026-05-21,optimal,314.37175425330815,2026-05
2026-05-22,optimal,350.3270086956522,2026-05
2026-05-23,optimal,339.91017587901706,2026-05
2026-05-24,optimal,398.8778773534972,2026-05
2026-05-25,optimal,343.59078563327034,2026-05
2026-05-26,optimal,349.8361368620038,2026-05
2026-05-27,optimal,264.0496780340265,2026-05
2026-05-28,optimal,668.3476695652174,2026-05
2026-05-29,optimal,378.33135652173917,2026-05
2026-05-30,optimal,279.3529370132325,2026-05
2026-05-31,optimal,256.5156434026465,2026-05
